uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,processedDate,sampleID,sampleCode,pHSampleID,samplingProtocolVersion,horizon,soilInWaterpH,soilInCaClpH,pHSoilInWaterMass,pHWaterVol,waterpHRatio,pHSoilInCaClMass,pHCaClVol,caclpHRatio,pHRemarks,pHMeasuredBy,pHDataQF,publicationDate,release,dpID,site_download,year_download,source_table
ae16cd2b-0d50-4de8-b506-828e2b75a00f,D03,OSBS,OSBS_029,OSBS_029.basePlot.bgc,2022-03-21T14:48:00Z,2022-03-21T14:48:00Z,2022-05-12,OSBS_029-M-23-20220321,A00000173724,OSBS_029-M-23-20220321-PH,NEON.DOC.014048vO,M,5.22,4.48,10.1,10,1,10.1,20,2,NA,0000-0001-9861-5609,NA,20251217T193606Z,RELEASE-2026,DP1.10086.001,OSBS,2022,sls_soilpH
80b84d31-5f61-4079-9f89-b280fad31818,D03,OSBS,OSBS_029,OSBS_029.basePlot.bgc,2022-03-21T14:56:00Z,2022-03-21T14:56:00Z,2022-05-12,OSBS_029-M-41-20220321,A00000173629,OSBS_029-M-41-20220321-PH,NEON.DOC.014048vO,M,5.38,4.54,10.4,10,1,10.4,20,1.9,NA,0000-0001-9861-5609,NA,20251217T193606Z,RELEASE-2026,DP1.10086.001,OSBS,2022,sls_soilpH
5c7f77d3-5545-49bf-bf9d-227cff1772d0,D03,OSBS,OSBS_029,OSBS_029.basePlot.bgc,2022-03-21T15:05:00Z,2022-03-21T15:05:00Z,2022-05-12,OSBS_029-M-21-20220321,A00000173708,OSBS_029-M-21-20220321-PH,NEON.DOC.014048vO,M,5.49,4.67,10.2,10,1,10.2,20,2,NA,0000-0001-9861-5609,NA,20251217T193606Z,RELEASE-2026,DP1.10086.001,OSBS,2022,sls_soilpH
6ec817e1-16cd-4aa3-ac4a-55385c3ed48e,D03,OSBS,OSBS_026,OSBS_026.basePlot.bgc,2022-03-21T15:29:00Z,2022-03-21T15:29:00Z,2022-05-12,OSBS_026-M-23-20220321,A00000173692,OSBS_026-M-23-20220321-PH,NEON.DOC.014048vO,M,5.94,4.84,10.3,10,1,10.3,20,1.9,NA,0000-0001-9861-5609,NA,20251217T193606Z,RELEASE-2026,DP1.10086.001,OSBS,2022,sls_soilpH
fd42fea9-28b7-4e08-aa13-a3a9e7e19d18,D03,OSBS,OSBS_026,OSBS_026.basePlot.bgc,2022-03-21T15:39:00Z,2022-03-21T15:39:00Z,2022-05-12,OSBS_026-M-21-20220321,A00000173645,OSBS_026-M-21-20220321-PH,NEON.DOC.014048vO,M,5.56,4.66,9.9,10,1,9.9,20,2,NA,0000-0001-9861-5609,NA,20251217T193606Z,RELEASE-2026,DP1.10086.001,OSBS,2022,sls_soilpH
1fef6ac6-c4ce-487b-8b4a-6473f4d2ad86,D03,OSBS,OSBS_026,OSBS_026.basePlot.bgc,2022-03-21T15:41:00Z,2022-03-21T15:41:00Z,2022-05-12,OSBS_026-M-41-20220321,A00000173630,OSBS_026-M-41-20220321-PH,NEON.DOC.014048vO,M,5.33,4.42,10.3,10,1,10.3,20,2,NA,0000-0001-9861-5609,NA,20251217T193606Z,RELEASE-2026,DP1.10086.001,OSBS,2022,sls_soilpH
a425412c-1bbc-43e2-b1f7-87a09b11bdd9,D03,OSBS,OSBS_027,OSBS_027.basePlot.bgc,2022-03-21T17:00:00Z,2022-03-21T17:00:00Z,2022-05-12,OSBS_027-M-21-20220321,A00000173723,OSBS_027-M-21-20220321-PH,NEON.DOC.014048vO,M,5.49,4.49,10,10,1,10,20,2,NA,0000-0001-9861-5609,NA,20251217T193606Z,RELEASE-2026,DP1.10086.001,OSBS,2022,sls_soilpH
a0f1ee31-6f25-4f77-9742-26ee5e3932a0,D03,OSBS,OSBS_027,OSBS_027.basePlot.bgc,2022-03-21T17:13:00Z,2022-03-21T17:13:00Z,2022-05-12,OSBS_027-M-41-20220321,A00000173646,OSBS_027-M-41-20220321-PH,NEON.DOC.014048vO,M,5.57,4.75,10,10,1,10,20,2,NA,0000-0001-9861-5609,NA,20251217T193606Z,RELEASE-2026,DP1.10086.001,OSBS,2022,sls_soilpH
6aaa7e8e-70bd-448f-8b7d-060347c88199,D03,OSBS,OSBS_027,OSBS_027.basePlot.bgc,2022-03-21T17:28:00Z,2022-03-21T17:28:00Z,2022-05-12,OSBS_027-M-39-20220321,A00000173709,OSBS_027-M-39-20220321-PH,NEON.DOC.014048vO,M,5.19,4.41,9.9,10,1,9.9,20,2,NA,0000-0001-9861-5609,NA,20251217T193606Z,RELEASE-2026,DP1.10086.001,OSBS,2022,sls_soilpH
1553c621-f7e7-4ffd-a161-2beae9635f1f,D03,OSBS,OSBS_031,OSBS_031.basePlot.bgc,2022-03-21T17:52:00Z,2022-03-21T17:52:00Z,2022-05-12,OSBS_031-M-39-20220321,A00000173722,OSBS_031-M-39-20220321-PH,NEON.DOC.014048vO,M,5.79,4.69,10.1,10,1,10.1,20,2,NA,0000-0001-9861-5609,NA,20251217T193606Z,RELEASE-2026,DP1.10086.001,OSBS,2022,sls_soilpH
d0b95312-f1c8-4633-bacb-bc00555e3568,D03,OSBS,OSBS_031,OSBS_031.basePlot.bgc,2022-03-21T17:59:00Z,2022-03-21T17:59:00Z,2022-05-12,OSBS_031-M-21-20220321,A00000173693,OSBS_031-M-21-20220321-PH,NEON.DOC.014048vO,M,5.25,4.54,9.6,10,1,9.6,20,2.1,NA,0000-0001-9861-5609,NA,20251217T193606Z,RELEASE-2026,DP1.10086.001,OSBS,2022,sls_soilpH
ed9a1e54-b757-41fa-9f32-2db7f0bc28bf,D03,OSBS,OSBS_031,OSBS_031.basePlot.bgc,2022-03-21T18:09:00Z,2022-03-21T18:09:00Z,2022-05-12,OSBS_031-M-41-20220321,A00000173631,OSBS_031-M-41-20220321-PH,NEON.DOC.014048vO,M,5.47,4.43,9.9,10,1,9.9,20,2,NA,0000-0001-9861-5609,NA,20251217T193606Z,RELEASE-2026,DP1.10086.001,OSBS,2022,sls_soilpH
e9c63048-f80f-41ff-9ead-6a91569682ae,D03,OSBS,OSBS_063,OSBS_063.basePlot.bgc,2022-03-21T19:05:00Z,2022-03-21T19:05:00Z,2022-05-12,OSBS_063-M-41-20220321,A00000173661,OSBS_063-M-41-20220321-PH,NEON.DOC.014048vO,M,5.55,4.64,10,10,1,10,20,2,NA,0000-0001-9861-5609,NA,20251217T193606Z,RELEASE-2026,DP1.10086.001,OSBS,2022,sls_soilpH
