uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,sampleID,sampleCode,moistureSampleID,samplingProtocolVersion,horizon,ovenStartDate,ovenEndDate,boatMass,freshMassBoatMass,dryMassBoatMass,soilMoisture,dryMassFraction,sampleCondition,smRemarks,smMeasuredBy,smDataQF,publicationDate,release,dpID,site_download,year_download,source_table
cca7481d-3745-455c-a13f-68cdf422bee9,D19,DEJU,DEJU_048,DEJU_048.basePlot.bgc,2020-06-16T20:30:00Z,2020-06-16T20:30:00Z,DEJU_048-O-38.5-30.5-20200616,A00000102894,DEJU_048-O-38.5-30.5-20200616-SM,NEON.DOC.014048vM,O,2020-06-19T21:50:00Z,2020-06-29T21:55:00Z,2.19,7.3,4.28,1.445,0.409,NA,NA,0000-0002-2868-1835,NA,20251217T193833Z,RELEASE-2026,DP1.10086.001,DEJU,2020,sls_soilMoisture
974f2594-6e62-4b2e-b984-98aa5d20058e,D19,DEJU,DEJU_048,DEJU_048.basePlot.bgc,2020-06-16T21:02:00Z,2020-06-16T21:02:00Z,DEJU_048-O-0-17-20200616,A00000102895,DEJU_048-O-0-17-20200616-SM,NEON.DOC.014048vM,O,2020-06-19T21:50:00Z,2020-06-29T21:55:00Z,2.16,7.38,4.16,1.61,0.383,NA,NA,0000-0002-2868-1835,NA,20251217T193833Z,RELEASE-2026,DP1.10086.001,DEJU,2020,sls_soilMoisture
94ea9f13-27a1-44d8-a701-6df035b97e45,D19,DEJU,DEJU_048,DEJU_048.basePlot.bgc,2020-06-16T21:16:00Z,2020-06-16T21:16:00Z,DEJU_048-O-0-29.5-20200616,A00000102896,DEJU_048-O-0-29.5-20200616-SM,NEON.DOC.014048vM,O,2020-06-19T21:50:00Z,2020-06-29T21:55:00Z,2.19,7.07,3.87,1.905,0.344,NA,NA,0000-0002-2868-1835,NA,20251217T193833Z,RELEASE-2026,DP1.10086.001,DEJU,2020,sls_soilMoisture
6095b14c-64f2-41a3-83ac-ca71b9a4af3e,D19,DEJU,DEJU_045,DEJU_045.basePlot.bgc,2020-06-16T22:53:00Z,2020-06-16T22:53:00Z,DEJU_045-O-3-30.5-20200616,A00000102885,DEJU_045-O-3-30.5-20200616-SM,NEON.DOC.014048vM,O,2020-06-19T21:50:00Z,2020-06-29T21:55:00Z,2.18,7.23,5.38,0.578,0.634,NA,NA,0000-0002-2868-1835,NA,20251217T193833Z,RELEASE-2026,DP1.10086.001,DEJU,2020,sls_soilMoisture
5eba6df1-eafa-4600-87bb-b7de5b872f64,D19,DEJU,DEJU_045,DEJU_045.basePlot.bgc,2020-06-16T23:10:00Z,2020-06-16T23:10:00Z,DEJU_045-O-8.5-8-20200616,A00000102886,DEJU_045-O-8.5-8-20200616-SM,NEON.DOC.014048vM,O,2020-06-19T21:50:00Z,2020-06-29T21:55:00Z,2.19,7.27,4.32,1.385,0.419,NA,NA,0000-0002-2868-1835,NA,20251217T193833Z,RELEASE-2026,DP1.10086.001,DEJU,2020,sls_soilMoisture
35769864-2132-477a-8def-486d080372f5,D19,DEJU,DEJU_045,DEJU_045.basePlot.bgc,2020-06-16T23:27:00Z,2020-06-16T23:27:00Z,DEJU_045-O-24.5-0-20200616,A00000102887,DEJU_045-O-24.5-0-20200616-SM,NEON.DOC.014048vM,O,2020-06-19T21:50:00Z,2020-06-29T21:55:00Z,2.19,7.42,6.44,0.231,0.813,NA,NA,0000-0002-2868-1835,NA,20251217T193833Z,RELEASE-2026,DP1.10086.001,DEJU,2020,sls_soilMoisture
6dfd71df-a5c1-4eaa-b3a9-cdb60f378c8e,D19,DEJU,DEJU_046,DEJU_046.basePlot.bgc,2020-06-17T00:45:00Z,2020-06-17T00:45:00Z,DEJU_046-O-39.5-33-20200616,A00000102888,DEJU_046-O-39.5-33-20200616-SM,NEON.DOC.014048vM,O,2020-06-19T21:50:00Z,2020-06-29T21:55:00Z,2.19,7.06,5.82,0.342,0.745,NA,NA,0000-0002-2868-1835,NA,20251217T193833Z,RELEASE-2026,DP1.10086.001,DEJU,2020,sls_soilMoisture
2e1ab80e-d363-40a3-aa2a-f5878f31fe00,D19,DEJU,DEJU_046,DEJU_046.basePlot.bgc,2020-06-17T01:06:00Z,2020-06-17T01:06:00Z,DEJU_046-O-15-39-20200616,A00000102889,DEJU_046-O-15-39-20200616-SM,NEON.DOC.014048vM,O,2020-06-19T21:50:00Z,2020-06-29T21:55:00Z,2.19,7.1,4.14,1.518,0.397,NA,NA,0000-0002-2868-1835,NA,20251217T193833Z,RELEASE-2026,DP1.10086.001,DEJU,2020,sls_soilMoisture
9f9a6d42-d76f-4dbd-aeb1-b122be879625,D19,DEJU,DEJU_046,DEJU_046.basePlot.bgc,2020-06-17T01:22:00Z,2020-06-17T01:22:00Z,DEJU_046-O-7-9.5-20200616,A00000102890,DEJU_046-O-7-9.5-20200616-SM,NEON.DOC.014048vM,O,2020-06-19T21:50:00Z,2020-06-29T21:55:00Z,2.2,7.28,4.24,1.49,0.402,NA,NA,0000-0002-2868-1835,NA,20251217T193833Z,RELEASE-2026,DP1.10086.001,DEJU,2020,sls_soilMoisture
6f61c4e5-bc4c-43ff-9945-dee58b3700f6,D19,DEJU,DEJU_015,DEJU_015.basePlot.bgc,2020-06-17T18:29:00Z,2020-06-17T18:29:00Z,DEJU_015-O-35-4.5-20200617,A00000102882,DEJU_015-O-35-4.5-20200617-SM,NEON.DOC.014048vM,O,2020-06-19T21:50:00Z,2020-06-29T21:55:00Z,2.2,7.28,3.98,1.854,0.35,NA,NA,0000-0002-2868-1835,NA,20251217T193833Z,RELEASE-2026,DP1.10086.001,DEJU,2020,sls_soilMoisture
