uid,analysisDate,namedLocation,domainID,siteID,plotID,plotType,startDate,collectDate,sampleID,sampleCode,cnSampleID,cnSampleCode,sampleType,acidTreatment,co2Trapped,d15N,organicd13C,nitrogenPercent,organicCPercent,CNratio,cnIsotopeQF,cnPercentQF,isotopeAccuracyQF,percentAccuracyQF,analyticalRepNumber,remarks,laboratoryName,testMethod,instrument,analyzedBy,reviewedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
424f8292-07f2-4420-954c-f6b2d3ceb045,2020-09-17,TREE_046.basePlot.bgc,D05,TREE,TREE_046,tower,2020-07-06T15:53:00Z,2020-07-06T15:53:00Z,TREE_046-M-36.5-31.5-20200706,A00000202733,TREE_046-M-36.5-31.5-20200706-CN,A00000203386,soil,N,N,3.8,-26.2,0.15,2.33,15.7,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Finnigan Delta Plus XP IRMS with Conflo III Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,NA,20251217T193632Z,RELEASE-2026,DP1.10086.001,TREE,2020,sls_soilChemistry
8ecb8c14-efd6-4588-b709-475b8f19e933,2020-09-17,TREE_002.basePlot.bgc,D05,TREE,TREE_002,distributed,2020-07-06T15:58:00Z,2020-07-06T15:58:00Z,TREE_002-O-38.5-1-20200706,A00000202732,TREE_002-O-38.5-1-20200706-CN,A00000203381,soil,N,N,2.2,-27.5,1.63,51.27,31.4,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Finnigan Delta Plus XP IRMS with Conflo III Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20251217T193632Z,RELEASE-2026,DP1.10086.001,TREE,2020,sls_soilChemistry
822e637f-83ec-4791-b3e2-1f9d3cf02d0a,2020-09-17,TREE_046.basePlot.bgc,D05,TREE,TREE_046,tower,2020-07-06T18:32:00Z,2020-07-06T18:32:00Z,TREE_046-M-19-0.5-20200706,A00000076573,TREE_046-M-19-0.5-20200706-CN,A00000203385,soil,N,N,3.8,-26.5,0.23,3.08,13.7,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Finnigan Delta Plus XP IRMS with Conflo III Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,NA,20251217T193632Z,RELEASE-2026,DP1.10086.001,TREE,2020,sls_soilChemistry
65fa95da-a3b2-45e6-9c3b-f38581fe10d0,2020-09-17,TREE_002.basePlot.bgc,D05,TREE,TREE_002,distributed,2020-07-06T19:07:00Z,2020-07-06T19:07:00Z,TREE_002-O-7-24-20200706,A00000202742,TREE_002-O-7-24-20200706-CN,A00000203379,soil,N,N,-0.2,-26.7,1.45,35.17,24.2,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Finnigan Delta Plus XP IRMS with Conflo III Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20251217T193632Z,RELEASE-2026,DP1.10086.001,TREE,2020,sls_soilChemistry
ee4dc03c-a582-4e06-b265-5b10506e7955,2020-09-17,TREE_046.basePlot.bgc,D05,TREE,TREE_046,tower,2020-07-06T19:12:00Z,2020-07-06T19:12:00Z,TREE_046-M-22-0-20200706,A00000202754,TREE_046-M-22-0-20200706-CN,A00000203384,soil,N,N,4.1,-26.5,0.1,1.06,10.8,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Finnigan Delta Plus XP IRMS with Conflo III Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,NA,20251217T193632Z,RELEASE-2026,DP1.10086.001,TREE,2020,sls_soilChemistry
1d97dbd1-7f22-439d-a736-829371f39d35,2020-09-17,TREE_002.basePlot.bgc,D05,TREE,TREE_002,distributed,2020-07-06T19:15:00Z,2020-07-06T19:15:00Z,TREE_002-M-7-24-20200706,A00000202741,TREE_002-M-7-24-20200706-CN,A00000203383,soil,N,N,3.6,-25.9,0.1,2.98,29,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Finnigan Delta Plus XP IRMS with Conflo III Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,NA,20251217T193632Z,RELEASE-2026,DP1.10086.001,TREE,2020,sls_soilChemistry
47e8d74e-ef9c-4a05-94f0-93aef58bce78,2020-09-17,TREE_002.basePlot.bgc,D05,TREE,TREE_002,distributed,2020-07-06T19:47:00Z,2020-07-06T19:47:00Z,TREE_002-O-9-11.5-20200706,A00000202744,TREE_002-O-9-11.5-20200706-CN,A00000203380,soil,N,N,-1.2,-26.9,1.69,47.4,28,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Finnigan Delta Plus XP IRMS with Conflo III Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20251217T193632Z,RELEASE-2026,DP1.10086.001,TREE,2020,sls_soilChemistry
b5b4c375-a0b6-4b77-a9d6-6d3b62d77d55,2020-09-17,TREE_002.basePlot.bgc,D05,TREE,TREE_002,distributed,2020-07-06T19:51:00Z,2020-07-06T19:51:00Z,TREE_002-M-9-11.5-20200706,A00000202743,TREE_002-M-9-11.5-20200706-CN,A00000203382,soil,N,N,3.9,-26.3,0.11,2.21,20.9,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Finnigan Delta Plus XP IRMS with Conflo III Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,NA,20251217T193632Z,RELEASE-2026,DP1.10086.001,TREE,2020,sls_soilChemistry
7657268b-97b4-4cc4-8973-14c58dde89ab,2020-09-17,TREE_004.basePlot.bgc,D05,TREE,TREE_004,distributed,2020-07-08T15:05:00Z,2020-07-08T15:05:00Z,TREE_004-O-32-24.5-20200708,A00000202788,TREE_004-O-32-24.5-20200708-CN,A00000203367,soil,N,N,1.5,-26.5,1.84,39.5,21.5,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Finnigan Delta Plus XP IRMS with Conflo III Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,dryingProtocolError,20251217T193632Z,RELEASE-2026,DP1.10086.001,TREE,2020,sls_soilChemistry
bdc59d40-b31e-48ce-8fa2-c317d6cfbb57,2020-09-17,TREE_041.basePlot.bgc,D05,TREE,TREE_041,tower,2020-07-08T15:25:00Z,2020-07-08T15:25:00Z,TREE_041-M-33.5-34.5-20200708,A00000202780,TREE_041-M-33.5-34.5-20200708-CN,A00000203388,soil,N,N,4.6,-25.9,0.15,1.84,12.7,OK,OK,OK,OK,1,NA,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler coupled to Thermo Finnigan Delta Plus XP IRMS with Conflo III Interface,rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj,L/6ZjMlRllRQ+sQbi+7sFw==,NA,20251217T193632Z,RELEASE-2026,DP1.10086.001,TREE,2020,sls_soilChemistry
