uid,namedLocation,domainID,siteID,plotID,plotType,sampleID,sampleCode,ligninSampleID,ligninSampleBarcode,collectDate,analysisDate,analyticalRepNumber,dryMass,digestVolume,foliarPhosphorusConc,foliarPotassiumConc,foliarCalciumConc,foliarMagnesiumConc,foliarSulfurConc,foliarManganeseConc,foliarIronConc,foliarCopperConc,foliarBoronConc,foliarZincConc,foliarPhosphorusQF,foliarPotassiumQF,foliarCalciumQF,foliarMagnesiumQF,foliarSulfurQF,foliarManganeseQF,foliarIronQF,foliarCopperQF,foliarBoronQF,foliarZincQF,remarks,laboratoryName,testMethod,analyzedBy,reviewedBy,dataQF,publicationDate,release,dpID,site_download,year_download,source_table
e1e33d97-141c-4d7e-8f11-09d34f0940de,GUAN_002.basePlot.cfc,D04,GUAN,GUAN_002,distributed,xIqeKa1cF5zQpITFlQ9eZCP13+CMJkG05NaXSHGeIhs=,A00000005671,xIqeKa1cF5zQpITFlQ9eZCP13+CMJkG0GYK9SJdpVqecRaWd2IN0lQ==,A00000005788,2018-04-24T12:12:00Z,2020-09-30,1,0.196,25,0.056,2.219,3.685,0.52,0.192,23.7,78.7,17.6,110.3,16.4,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,yOg/B621B2rBEidHmvFsEQ==,NA,20260106T154248Z,RELEASE-2026,DP1.10026.001,GUAN,2018,cfc_elements
36a30d05-bc9b-4729-8e69-6c6a2c07e953,GUAN_002.basePlot.cfc,D04,GUAN,GUAN_002,distributed,xIqeKa1cF5wrDcLSoZ8W0cX3XEy/r+ZmtKHy1jKltlY=,A00000007222,xIqeKa1cF5wrDcLSoZ8W0cX3XEy/r+Zm+McOfQnrNiY=,A00000005789,2018-04-24T12:50:00Z,2020-09-30,1,0.204,25,0.071,0.551,3.898,0.488,0.175,56.1,61.7,4.9,176.5,9.3,OK,OK,OK,OK,OK,OK,OK,OK,sample value outlier,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,yOg/B621B2rBEidHmvFsEQ==,NA,20260106T154248Z,RELEASE-2026,DP1.10026.001,GUAN,2018,cfc_elements
e12ea35d-dcb2-4427-8b01-a7a4b8659bba,GUAN_002.basePlot.cfc,D04,GUAN,GUAN_002,distributed,xIqeKa1cF5zpenmYNvsTH9UWNjXTZEHS8XmHwaLsRY0=,A00000007235,xIqeKa1cF5zpenmYNvsTH9UWNjXTZEHSPbgEC71ARkY=,A00000005793,2018-04-24T13:16:00Z,2020-09-30,1,0.195,25,0.087,2.242,2.475,0.181,0.159,19.9,28.4,13.8,53.6,12,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,yOg/B621B2rBEidHmvFsEQ==,NA,20260106T154248Z,RELEASE-2026,DP1.10026.001,GUAN,2018,cfc_elements
3ed2b86b-2050-46ee-8f68-0dc7b1328324,GUAN_008.basePlot.cfc,D04,GUAN,GUAN_008,distributed,xIqeKa1cF5xgOtndUHmBGIAy/uSRpwbQ8z2RwGsWKyo=,A00000007244,xIqeKa1cF5xgOtndUHmBGIAy/uSRpwbQF68pyLK3xfk=,A00000005777,2018-04-24T15:54:00Z,2020-09-30,1,0.198,25,0.139,1.214,1.349,0.475,0.176,26.6,21.5,4.7,29.7,19.1,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,yOg/B621B2rBEidHmvFsEQ==,NA,20260106T154248Z,RELEASE-2026,DP1.10026.001,GUAN,2018,cfc_elements
86d88e3f-6b64-41ad-a15b-490e10d2ef95,GUAN_008.basePlot.cfc,D04,GUAN,GUAN_008,distributed,xIqeKa1cF5yjEd42cEFihrNhyyHEAZdTtO1ZjWRWEf0=,A00000007259,xIqeKa1cF5yjEd42cEFihrNhyyHEAZdTT7VJwL1nOCw=,A00000005780,2018-04-24T16:16:00Z,2020-09-30,1,0.202,25,0.087,0.011,0.013,0.304,0.109,0.3,40,4.2,15.1,26.1,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,yOg/B621B2rBEidHmvFsEQ==,NA,20260106T154248Z,RELEASE-2026,DP1.10026.001,GUAN,2018,cfc_elements
0b7699e4-b4c3-44c7-a274-224b990308ef,GUAN_008.basePlot.cfc,D04,GUAN,GUAN_008,distributed,xIqeKa1cF5wTAD5AzsGyzPZNjiRUeJZLh23POiccO7o=,A00000007260,xIqeKa1cF5wTAD5AzsGyzPZNjiRUeJZLaIixv0feLXbTI5SVQntVdg==,A00000005781,2018-04-24T16:54:00Z,2020-09-30,1,0.199,25,0.223,1.081,2.837,0.646,0.26,27.6,19.3,4.2,33.3,17.9,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,yOg/B621B2rBEidHmvFsEQ==,NA,20260106T154248Z,RELEASE-2026,DP1.10026.001,GUAN,2018,cfc_elements
b78113e5-cfb2-4f84-8630-62e0a5941f44,GUAN_042.basePlot.cfc,D04,GUAN,GUAN_042,tower,xIqeKa1cF5xABiXrs0UCiJR6NdCm4wNr0gVPrMAWG+E=,A00000007245,xIqeKa1cF5xABiXrs0UCiJR6NdCm4wNrERnm/AYZAH8=,A00000005795,2018-04-25T11:21:00Z,2020-09-30,1,0.202,25,0.081,1.503,2.572,0.199,0.336,13.2,31.1,11.9,133,11,OK,OK,OK,OK,OK,OK,OK,OK,sample value outlier - reanalysis not possible,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,yOg/B621B2rBEidHmvFsEQ==,NA,20260106T154248Z,RELEASE-2026,DP1.10026.001,GUAN,2018,cfc_elements
4a5caadc-9f8c-47cc-b2f3-dc338bf6f00f,GUAN_042.basePlot.cfc,D04,GUAN,GUAN_042,tower,xIqeKa1cF5w/7S5W4OSulId2ieyS+K+PKF/GwC2YXGM=,A00000007246,xIqeKa1cF5w/7S5W4OSulId2ieyS+K+PDB47PkkobvM=,A00000005803,2018-04-25T11:55:00Z,2020-09-30,1,0.194,25,0.076,1.112,4.625,0.293,0.198,40.4,31.1,12.6,232.2,13.6,OK,OK,OK,OK,OK,OK,OK,OK,sample value outlier - reanalysis not possible,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,yOg/B621B2rBEidHmvFsEQ==,NA,20260106T154248Z,RELEASE-2026,DP1.10026.001,GUAN,2018,cfc_elements
39a96906-caea-41e3-bca7-73ccd4397f29,GUAN_042.basePlot.cfc,D04,GUAN,GUAN_042,tower,xIqeKa1cF5wru2D/2cP7M9sTjPj2HT25/QazCIK0oM4=,A00000007262,xIqeKa1cF5wru2D/2cP7M9sTjPj2HT25R+dwhL0kw70=,A00000005805,2018-04-25T12:28:00Z,2020-09-30,1,0.196,25,0.149,1.624,1.675,0.205,0.225,41.8,32.3,10.1,87.8,16.7,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,yOg/B621B2rBEidHmvFsEQ==,NA,20260106T154248Z,RELEASE-2026,DP1.10026.001,GUAN,2018,cfc_elements
ba5ae685-f095-4081-aaaf-79e305cc49d6,GUAN_043.basePlot.cfc,D04,GUAN,GUAN_043,tower,xIqeKa1cF5waeJdGCqrXoUfTMlurlUpUrmhSU6tu78w=,A00000007268,xIqeKa1cF5waeJdGCqrXoUfTMlurlUpUyU4TpsXZZvA=,A00000005809,2018-04-25T13:35:00Z,2020-09-30,1,0.201,25,0.082,1.84,1.309,0.137,0.2,8.8,30.4,26,74.5,26.6,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,NA,A and L Great Lakes,SOP APF-10-020,J/g6an6qIb0=,yOg/B621B2rBEidHmvFsEQ==,NA,20260106T154248Z,RELEASE-2026,DP1.10026.001,GUAN,2018,cfc_elements
