uid,domainID,siteID,plotID,namedLocation,startDate,collectDate,eventID,samplingProtocolVersion,genomicsPooledIDList,genomicsSampleID,genomicsSampleCode,sampleCondition,processedDate,processedBy,remarks,genomicsDataQF,publicationDate,release,dpID,site_download,year_download,source_table
b884cba4-73f0-4a0c-abdb-b2ce1ba1676f,D18,TOOL,TOOL_041,TOOL_041.basePlot.bgc,2021-08-03T18:52:00Z,2021-08-03T19:26:00Z,TOOL.peakGreenness.2021,NEON.DOC.014048vN,TOOL_041-O-34.5-39-20210803|TOOL_041-O-14-1-20210803|TOOL_041-O-8-38.5-20210803,TOOL_041-O-20210803-COMP,B00000127713,OK,NA,0000-0002-2117-4697,NA,NA,20251217T193623Z,RELEASE-2026,DP1.10086.001,TOOL,2021,sls_metagenomicsPooling
a4faf8b1-d3f3-4145-8e69-001eded88568,D18,TOOL,TOOL_043,TOOL_043.basePlot.bgc,2021-08-03T20:12:00Z,2021-08-03T20:42:00Z,TOOL.peakGreenness.2021,NEON.DOC.014048vN,TOOL_043-O-33.5-25-20210803|TOOL_043-O-33.5-13.5-20210803|TOOL_043-O-2.5-10-20210803,TOOL_043-O-20210803-COMP,B00000127704,OK,NA,0000-0002-2117-4697,NA,NA,20251217T193623Z,RELEASE-2026,DP1.10086.001,TOOL,2021,sls_metagenomicsPooling
d6d3cad2-fac4-408b-81e1-e78ce7147fd8,D18,TOOL,TOOL_042,TOOL_042.basePlot.bgc,2021-08-03T21:27:00Z,2021-08-03T22:00:00Z,TOOL.peakGreenness.2021,NEON.DOC.014048vN,TOOL_042-O-5.5-29.5-20210803|TOOL_042-O-39.5-32-20210803|TOOL_042-O-14-9-20210803,TOOL_042-O-20210803-COMP,B00000127701,OK,NA,0000-0002-2117-4697,NA,NA,20251217T193623Z,RELEASE-2026,DP1.10086.001,TOOL,2021,sls_metagenomicsPooling
4a49feeb-b157-4227-acb3-e377e8bb19d9,D18,TOOL,TOOL_044,TOOL_044.basePlot.bgc,2021-08-03T23:01:00Z,2021-08-03T23:46:00Z,TOOL.peakGreenness.2021,NEON.DOC.014048vN,TOOL_044-O-16-4-20210803|TOOL_044-O-26.5-9.5-20210803|TOOL_044-O-21-33.5-20210803,TOOL_044-O-20210803-COMP,B00000127708,OK,NA,0000-0002-2117-4697,NA,NA,20251217T193623Z,RELEASE-2026,DP1.10086.001,TOOL,2021,sls_metagenomicsPooling
7a876097-db86-4003-ba16-6173ff439720,D18,TOOL,TOOL_006,TOOL_006.basePlot.bgc,2021-08-04T19:01:00Z,2021-08-05T06:46:00Z,TOOL.peakGreenness.2021,NEON.DOC.014048vN,TOOL_006-O-14.5-33.5-20210804|TOOL_006-O-30-10.5-20210804|TOOL_006-O-1-18.5-20210804,TOOL_006-O-20210804-COMP,B00000127699,OK,NA,0000-0002-2117-4697,NA,NA,20251217T193623Z,RELEASE-2026,DP1.10086.001,TOOL,2021,sls_metagenomicsPooling
06646003-a1ff-46a0-9612-9a28e5c6e37d,D18,TOOL,TOOL_002,TOOL_002.basePlot.bgc,2021-08-04T21:21:00Z,2021-08-04T21:55:00Z,TOOL.peakGreenness.2021,NEON.DOC.014048vN,TOOL_002-O-39-19.5-20210804|TOOL_002-O-14-31-20210804|TOOL_002-O-18-9-20210804,TOOL_002-O-20210804-COMP,B00000127728,OK,NA,0000-0002-2117-4697,NA,NA,20251217T193623Z,RELEASE-2026,DP1.10086.001,TOOL,2021,sls_metagenomicsPooling
0125fbd6-dda9-4335-8e86-ccce572378b6,D18,TOOL,TOOL_001,TOOL_001.basePlot.bgc,2021-08-05T00:16:00Z,2021-08-05T00:52:00Z,TOOL.peakGreenness.2021,NEON.DOC.014048vN,TOOL_001-O-20-35.5-20210804|TOOL_001-O-33-13-20210804|TOOL_001-O-19-34.5-20210804,TOOL_001-O-20210804-COMP,B00000127732,OK,NA,0000-0002-2117-4697,NA,NA,20251217T193623Z,RELEASE-2026,DP1.10086.001,TOOL,2021,sls_metagenomicsPooling
63774044-22aa-447c-9fae-2e343b1788da,D18,TOOL,TOOL_004,TOOL_004.basePlot.bgc,2021-08-05T18:41:00Z,2021-08-05T19:20:00Z,TOOL.peakGreenness.2021,NEON.DOC.014048vN,TOOL_004-O-1-11-20210805|TOOL_004-O-38-28.5-20210805|TOOL_004-O-14.5-39.5-20210805,TOOL_004-O-20210805-COMP,B00000127720,OK,NA,0000-0002-2117-4697,NA,NA,20251217T193623Z,RELEASE-2026,DP1.10086.001,TOOL,2021,sls_metagenomicsPooling
5efffd68-0c09-47b9-89c9-d05b23c3f0eb,D18,TOOL,TOOL_003,TOOL_003.basePlot.bgc,2021-08-05T23:14:00Z,2021-08-05T23:52:00Z,TOOL.peakGreenness.2021,NEON.DOC.014048vN,TOOL_003-O-39-6.5-20210805|TOOL_003-O-28.5-39.5-20210805|TOOL_003-O-4.5-4.5-20210805,TOOL_003-O-20210805-COMP,B00000127724,OK,NA,0000-0002-2117-4697,NA,NA,20251217T193623Z,RELEASE-2026,DP1.10086.001,TOOL,2021,sls_metagenomicsPooling
144eff51-25c6-4c27-8e2b-1042ba7eb5fb,D18,TOOL,TOOL_005,TOOL_005.basePlot.bgc,2021-08-06T19:13:00Z,2021-08-06T19:53:00Z,TOOL.peakGreenness.2021,NEON.DOC.014048vN,TOOL_005-O-21.5-38-20210806|TOOL_005-O-0-0.5-20210806|TOOL_005-O-4.5-33.5-20210806,TOOL_005-O-20210806-COMP,B00000127716,OK,NA,0000-0002-2117-4697,NA,NA,20251217T193623Z,RELEASE-2026,DP1.10086.001,TOOL,2021,sls_metagenomicsPooling
